env,seed,regime,distance_mahal,disagreement_sqrt_predvar
HalfCheetah-v5,0,id,23.86421566594688,2.462294818830862
HalfCheetah-v5,0,id,41.6178021797531,2.577762925125318
HalfCheetah-v5,0,id,34.489397760409915,2.4341335034834803
HalfCheetah-v5,0,id,30.205401482845776,2.477217530469987
HalfCheetah-v5,0,id,40.52558343025456,2.4883098989900483
HalfCheetah-v5,0,id,63.3848130521114,2.739744222773265
HalfCheetah-v5,0,id,41.20686160556349,3.1595704392714166
HalfCheetah-v5,0,id,37.08822329177014,2.4097633969041103
HalfCheetah-v5,0,id,31.507159469613534,2.0439940700556964
HalfCheetah-v5,0,id,33.81076039055426,2.483939366563507
HalfCheetah-v5,0,id,29.56849960837948,2.303684960542656
HalfCheetah-v5,0,id,34.28650185983056,2.5462637325734923
HalfCheetah-v5,0,id,34.348038495805696,2.950164117935459
HalfCheetah-v5,0,id,37.919014004394455,2.7900204335766774
HalfCheetah-v5,0,id,32.28027931656965,2.3525304481408806
HalfCheetah-v5,0,id,35.60589041311284,2.1651284797728145
HalfCheetah-v5,0,id,29.206549187913975,2.2399318926538876
HalfCheetah-v5,0,id,32.6905333460815,2.2145920598697595
HalfCheetah-v5,0,id,25.81467741249756,2.2316085655544424
HalfCheetah-v5,0,id,26.241101435742326,2.7529281286023433
HalfCheetah-v5,0,id,29.067433714313488,2.3517345479589573
HalfCheetah-v5,0,id,27.85084305990322,2.7201771991174377
HalfCheetah-v5,0,id,37.746466927328875,2.135660135919572
HalfCheetah-v5,0,id,21.479960466958506,2.1304382971114353
HalfCheetah-v5,0,id,20.182120047817666,2.163638958299216
HalfCheetah-v5,0,id,27.115487635676562,2.2736575095568288
HalfCheetah-v5,0,id,24.07022467781807,2.664682265874107
HalfCheetah-v5,0,id,25.15536688452573,2.4072094280259866
HalfCheetah-v5,0,id,29.464104639740796,2.37028577634851
HalfCheetah-v5,0,id,25.403189108668514,2.329114255730611
HalfCheetah-v5,0,id,26.129006259342187,2.114187557471599
HalfCheetah-v5,0,id,25.606624378586744,1.9986041085329163
HalfCheetah-v5,0,id,36.47027106503893,2.473657968591242
HalfCheetah-v5,0,id,20.556582620163468,2.199920379758461
HalfCheetah-v5,0,id,29.88573593949413,2.3190857184105846
HalfCheetah-v5,0,id,23.475109009117062,2.2659182654687506
HalfCheetah-v5,0,id,21.401844638035488,2.0197485801294217
HalfCheetah-v5,0,id,28.853775511855744,1.767828520010558
HalfCheetah-v5,0,id,36.38529587736321,2.365400489625036
HalfCheetah-v5,0,id,24.514811843228877,2.166831438206004
HalfCheetah-v5,0,id,32.82381021155687,2.280231718870243
HalfCheetah-v5,0,id,27.152665590609057,2.222424540316801
HalfCheetah-v5,0,id,21.537069247308402,1.8971653196081004
HalfCheetah-v5,0,id,21.28868184153873,1.763433733944046
HalfCheetah-v5,0,id,20.62536408163455,1.838888645300156
HalfCheetah-v5,0,id,24.921180373989685,2.3015041284352167
HalfCheetah-v5,0,id,22.590421266264286,1.8898096769871762
HalfCheetah-v5,0,id,26.798852708652344,1.933856429935949
HalfCheetah-v5,0,id,25.55089777495728,1.9827277487820674
HalfCheetah-v5,0,id,22.593148133764235,1.680442959540116
HalfCheetah-v5,0,id,16.382732878414007,1.593375442472501
HalfCheetah-v5,0,id,21.373276023381273,1.8821893190960657
HalfCheetah-v5,0,id,19.836691375616866,1.877683943818593
HalfCheetah-v5,0,id,22.98439795507025,1.9402439007372616
HalfCheetah-v5,0,id,32.546100724971886,1.8944833651124695
HalfCheetah-v5,0,id,31.665881496658137,1.7889882701150197
HalfCheetah-v5,0,id,53.901115140275955,3.0784083202118766
HalfCheetah-v5,0,id,28.496581639501667,1.9948994447228823
HalfCheetah-v5,0,id,25.86744838066879,1.922979642168142
HalfCheetah-v5,0,id,31.110145589948477,1.640533226716117
HalfCheetah-v5,0,id,47.87161148923199,2.333358923453831
HalfCheetah-v5,0,id,42.51949405533733,1.8676258673885786
HalfCheetah-v5,0,id,28.60147872069041,2.0265811963421134
HalfCheetah-v5,0,id,22.55760025556916,2.0629707723924158
HalfCheetah-v5,0,id,24.696511322138534,1.9700716819889277
HalfCheetah-v5,0,id,18.276342563653213,1.5693625238394375
HalfCheetah-v5,0,id,41.88923118745457,1.8751445078794056
HalfCheetah-v5,0,id,27.00215058866673,1.5580484684075866
HalfCheetah-v5,0,id,38.1513390304487,2.043288488513073
HalfCheetah-v5,0,id,19.49277705867554,1.8596316889684696
HalfCheetah-v5,0,id,21.717720024793437,1.9391741134157405
HalfCheetah-v5,0,id,28.564037204519966,1.8294928234592414
HalfCheetah-v5,0,id,22.6117199386648,1.8356396372610586
HalfCheetah-v5,0,id,19.333688893662245,1.6441568777595652
HalfCheetah-v5,0,id,10.62394683195167,1.6383458610022066
HalfCheetah-v5,0,id,15.249556500124475,1.8098261611664745
HalfCheetah-v5,0,id,21.96810155377672,1.886176621796445
HalfCheetah-v5,0,id,13.238368257709434,1.3626980996264002
HalfCheetah-v5,0,id,17.169604208639196,1.7475302161795576
HalfCheetah-v5,0,id,18.380625363011003,1.4722077271009821
HalfCheetah-v5,0,id,16.55614667732764,1.5745463065990648
HalfCheetah-v5,0,id,19.527631930872026,1.7712838964779183
HalfCheetah-v5,0,id,22.83295043948673,1.7969516903641125
HalfCheetah-v5,0,id,18.077962946175873,1.5016905476953624
HalfCheetah-v5,0,id,13.92666432063432,1.5745035297285184
HalfCheetah-v5,0,id,17.448397566605344,1.5926235182213109
HalfCheetah-v5,0,id,10.290546968137438,1.4935695778648346
HalfCheetah-v5,0,id,14.581652411265273,1.6970709194094897
HalfCheetah-v5,0,id,12.513667852498013,1.6507491405160721
HalfCheetah-v5,0,id,12.336132955841684,1.3903760794405875
HalfCheetah-v5,0,id,13.509069695454029,1.5078439659827978
HalfCheetah-v5,0,id,14.69980766466406,1.5031728566377098
HalfCheetah-v5,0,id,8.66894850752356,1.41833171980363
HalfCheetah-v5,0,id,12.776549647271787,1.6637886789183667
HalfCheetah-v5,0,id,15.996206788689207,1.7252169928694048
HalfCheetah-v5,0,id,9.84229198286984,1.1889903604326837
